idx,cluster,is_noise,probability,doc_id,period,year,x_2d,y_2d,text_preview
21,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.6467,-0.6891,"Широкие размеры принимает и издание листовок на различных языках многонационального Закавказья. «Прекрасно написанные прокламации выходили на русском,"
22,38,False,0.8488,aleksandrov_1947,1947-1953,1947,-1.7157,-0.4884,"В конце ноября, по поручению Тифлисского комитета, Сталин едет в Батум, третий по величине после Баку и Тифлиса пролетарский центр на Кавказе, для соз"
23,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.7059,-0.5728,"В Батуме Сталин развертывает кипучую революционную работу: устанавливает связи с передовыми рабочими, создает социал-демократические кружки, лично вед"
24,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.4182,-0.8891,"Так, в этот период, в решительной и непримиримой борьбе с оппортунизмом сложилась и выросла ленинско-искровская организация в Закавказье. Ее виднейшим"
25,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.5088,-0.3856,Подъем борьбы рабочих в Батуме серьезно обеспокоил правительство. Полицейские ищейки усердно ищут «зачинщиков». 5 апреля 1902 года Сталина арестовываю
26,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.7024,-0.395,"В начале марта 1903 года происходит первый съезд кавказских с.-д. организаций, на котором оформляется Кавказский союз РСДРП. Сталин, находившийся в за"
27,6,False,0.7593,aleksandrov_1947,1947-1953,1947,-3.5398,-1.2174,"Осенью 1903 года Сталина высылают на три года в Восточную Сибирь, в село Новая Уда Балаганского уезда Иркутской губернии. 27 ноября 1903 года Сталин п"
28,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.2159,0.3477,"Я находился тогда в Сибири в ссылке… Письмецо Ленина было сравнительно небольшое, но оно давало смелую, бесстрашную критику практики нашей партии и за"
29,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.4017,-0.3495,"В ссылке Сталин оставался недолго. Он рвался скорее на свободу, чтобы взяться за реализацию ленинского плана строительства большевистской партии. 5 ян"
30,19,False,0.8174,aleksandrov_1947,1947-1953,1947,-1.9804,-0.119,IIПочти два года Сталин пробыл в тюрьме и ссылке. Эти годы были годами - дальнейшего нарастания революционного подъема в стране. За это время состоялс
31,38,False,0.9839,aleksandrov_1947,1947-1953,1947,-1.8015,-0.5435,"Верной опорой Ленина в этой борьбе на Кавказе был Сталин, который стоял во главе закавказских большевиков. Работа Сталина в этот период проходит под ф"
32,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.1473,-0.8669,"Под руководством Сталина и Джапаридзе в декабре 1904 г. проводилась грандиозная стачка бакинских рабочих, которая продолжалась с 13 по 31 декабря и за"
33,19,False,0.9567,aleksandrov_1947,1947-1953,1947,-2.019,-0.2832,"Сталин настойчиво проводит директивы Ленина, развивает и отстаивает большевистские идеи перед массами, организует борьбу за III съезд партии. Между Ле"
34,38,False,0.852,aleksandrov_1947,1947-1953,1947,-1.4996,-0.653,Замечательно смелым предприятием Кавказского союзного комитета РСДРП и выдающимся образцом большевистской подпольной техники была тайная Авлабарская т
35,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.0024,-0.3706,"Решающая роль в деле защиты позиций большевизма на Кавказе, в пропаганде и развитии идей Ленина принадлежала выходившему под редакцией Сталина органу "
36,19,False,0.8628,aleksandrov_1947,1947-1953,1947,-2.2364,0.0747,В своих статьях и брошюрах Сталин разрабатывает ряд теоретических и политических вопросов. Он вскрывает идейную фальшь антибольшевистских течений и фр
37,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.3641,2.0405,"Сталин, наиболее верный и до конца последовательный ученик и сподвижник Ленина, сыграл на Кавказе выдающуюся роль в идейном разгроме меньшевизма и защ"
38,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.4192,0.4337,"В своей замечательной брошюре «Коротко о партийных разногласиях», в двух «Письмах из Кутаиса» и в статье «Ответ “Социал-Демократу”» Сталин выступил с "
39,29,False,0.7186,aleksandrov_1947,1947-1953,1947,-3.5912,0.0241,"В «Письмах из Кутаиса» (сентябрь - октябрь 1904 года) Сталин дает резкую критику статей Плеханова в меньшевистской новой «Искре», направленных против "
40,29,False,0.7387,aleksandrov_1947,1947-1953,1947,-3.6393,-0.1221,"Развивая идеи в. И. Ленина, товарищ Сталин доказывает, что социалистическое сознание имеет великое значение для рабочего движения. Одновременно Сталин"
41,6,False,1.0,aleksandrov_1947,1947-1953,1947,-4.0687,-1.3131,Развертывая в брошюре «Коротко о партийных разногласиях» свою глубокую и разностороннюю аргументацию по вопросу о соотношении стихийного рабочего движ
42,6,False,1.0,aleksandrov_1947,1947-1953,1947,-4.1456,-1.2416,Вся история борьбы рабочего класса в России блестяще подтвердила этот важный теоретический вывод товарища Сталина. В этой брошюре Сталин дает уничтожа
43,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.4142,0.4815,"Выступление Сталина встретило полное одобрение Ленина. Оценивая статью Сталина «Ответ „Социал-Демократу“, напечатанную в „Пролетариатис Брдзола“ в авг"
44,6,False,1.0,aleksandrov_1947,1947-1953,1947,-3.9863,-1.3907,В ряде статей Сталин обосновывает ленинскую линию на II съезде РСДРП и после съезда. В статье «Класс пролетариев и партия пролетариев» (опубликована 1
45,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.6277,0.3056,Статья «Как понимает социал-демократия национальный вопрос?» (опубликована в No7 «Пролетариатис Брдзола» от 1 сентября 1904 г.) - замечательный коммен
46,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.8822,-0.3225,"Имея в виду либералов, стремившихся не к революции, а к примирению с царем, Сталин еще накануне 9 января 1905 года говорил:«Да, господа, тщетны ваши с"
47,6,False,1.0,aleksandrov_1947,1947-1953,1947,-4.0166,-1.3297,"В его работах 1905 - 1907 годов дается всестороннее обоснование идеи вооруженного восстания. «Спасение народа в победоносном восстании самого народа»,"
48,6,False,1.0,aleksandrov_1947,1947-1953,1947,-4.0596,-1.3291,"Сталин обосновывает и развивает идею Ленина о временном революционном правительстве. Создание временного революционного правительства, указывает он, д"
49,34,False,0.9511,aleksandrov_1947,1947-1953,1947,-2.5178,-0.5119,"В борьбе с многочисленными врагами большевистской партии и рабочего класса Сталин последовательно отстаивает и развивает ленинскую теорию революции, л"
50,19,False,0.9119,aleksandrov_1947,1947-1953,1947,-2.0734,0.2395,"Кавказский союзный комитет неустанно пропагандировал решения III съезда партии, звал рабочих и крестьян к вооруженному восстанию. Сталинские листовки "
51,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.2533,-0.2237,"Октябрьская всеобщая забастовка 1905 года, показавшая силу, мощь пролетарского движения, заставила насмерть перепуганного царя выступить с манифестом "
52,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.7981,-0.4276,"Отстаивая мысль о необходимости для победы революции всенародного вооруженного восстания, Сталин в написанной им прокламации Тифлисского комитета Кавк"
53,19,False,0.9759,aleksandrov_1947,1947-1953,1947,-1.8558,-0.0947,В декабре 1905 года Сталин едет в качестве делегата от закавказских большевиков на первую Всероссийскую большевистскую конференцию в Таммерфорс (Финля
54,19,False,0.6021,aleksandrov_1947,1947-1953,1947,-2.2662,0.3646,"Сталин - активный участник IV съезда РСДРП (Стокгольм, апрель 1906 г.), на котором он вместе с Лениным отстаивал против меньшевиков большевистскую лин"
55,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.3437,0.5043,Вскоре после съезда Сталин написал брошюру «Современный момент и объединительный съезд рабочей партии». В этой брошюре Сталин дал анализ уроков декабр
56,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.7162,-0.67,После съезда Сталин вновь в Закавказье. Он ведет непримиримую борьбу против меньшевизма и других антипролетарских течений. Он руководит легальными бол
57,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.403,0.5249,"К этому времени относится серия замечательных статей Сталина - «Анархизм или социализм?», написанных в связи с активизацией в Закавказье анархистов-кр"
58,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.8741,0.2138,В защиту теоретических основ марксизма выступает и Сталин. В своих статьях «Анархизм или социализм?» Сталин отстаивает и развивает теоретические основ
59,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.7404,0.2067,С исключительной глубиной поставлены и решены в этой работе коренные вопросы марксистско-ленинской теории: неизбежность и неотвратимость социалистичес
60,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.0668,0.4416,"В апреле - мае 1907 года состоялся V (Лондонский) съезд РСДРП, закрепивший победу большевиков над меньшевиками. Сталин - активный участник съезда. Вер"
61,19,False,0.7074,aleksandrov_1947,1947-1953,1947,-2.2043,-0.2251,"Для Ленина и Сталина это были годы непримиримой борьбы за сохранение и укрепление нелегальной революционной партии, за проведение большевистской линии"
62,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.7112,-0.6468,"С июня 1907 года начинается бакинский период революционной деятельности Сталина. Вернувшись с V (Лондонского) съезда РСДРП, Сталин оставляет Тифлис и "
63,19,False,1.0,aleksandrov_1947,1947-1953,1947,-1.9871,-0.0985,Сталин руководит кампанией по выборам рабочих депутатов в III Государственную думу. Написанный Сталиным «Наказ социал-демократическим депутатам III Го
64,6,False,0.423,aleksandrov_1947,1947-1953,1947,-3.1867,-1.161,"В мрачную ночь столыпинской реакции пролетарский Баку представляет невиданное зрелище: развертывается пролетарская борьба, на всю Россию гремит голос "
65,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.6939,-0.6043,"Сталин сплачивает вокруг себя крепкое ядро испытанных большевиков-ленинцев - Фиолетова, Саратовца (Ефимов), Вацека, Бокова, Малыгина, Орджоникидзе, Дж"
66,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.7007,-0.6709,Бакинский период имеет крупнейшее значение в жизни и деятельности Сталина. Вот что говорит Сталин об этом периоде:«Три года революционной работы среди
67,19,False,0.9119,aleksandrov_1947,1947-1953,1947,-1.96,0.008,"Сталин целиком поддерживает позицию Ленина, решительно выступает против ликвидаторов и отзовистов. В центральной партийной прессе появляются историчес"
68,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.4026,-0.3117,Со второй половины 1911 года наступает петербургский период революционной деятельности товарища Сталина. 6 сентября 1911 года товарищ Сталин нелегальн
69,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.9751,0.2682,"Большевики готовили такую партию, партию нового типа, уже со времен старой «Искры». Они готовили ее упорно, настойчиво, несмотря ни на что. Вся истори"
70,19,False,0.8174,aleksandrov_1947,1947-1953,1947,-1.9678,-0.1291,"IVПражская конференция предсказала в своих решениях неизбежность в недалеком будущем революционного подъема и приняла все меры для того, чтобы партия "
71,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.5741,-0.3325,И 29 февраля 1912 года Сталин вновь бежит из ссылки. За короткое время пребывания на «воле» Сталин развертывает энергичную деятельность: объезжает по 
72,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.6086,-0.1278,Могучим оружием в руках большевистской партии в деле укрепления своих организаций и завоевания влияния в массах явилась ежедневная массовая большевист
73,19,False,0.8174,aleksandrov_1947,1947-1953,1947,-2.0676,-0.2646,В честь появления «Правды» было решено считать 5 мая днем праздника рабочей печати.«Правда» 1912 года - это закладка фундамента для победы большевизма
74,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.9292,0.3267,"Крупнейшую роль в избирательной кампании, увенчавшейся победой партии, сыграл написанный Сталиным «Наказ петербургских рабочих своему рабочему депутат"
75,19,False,1.0,aleksandrov_1947,1947-1953,1947,-2.0127,-0.0298,"Сталинский «Наказ» напоминал рабочим о неразрешенных задачах 1905 года и призывал их к революционной борьбе, к борьбе на два фронта - как против царск"
76,19,False,1.0,aleksandrov_1947,1947-1953,1947,-2.0316,-0.2283,"В своих письмах Ленин полностью одобряет деятельность Сталина, его выступления, его статьи. Сталин дважды выезжает в Краков к Ленину: в ноябре и в кон"
77,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.7221,0.5787,"Находясь за границей, Сталин пишет работу «Марксизм и национальный вопрос», которую Ленин очень высоко оценивал. Ленин писал об этой работе: «В теорет"
78,19,False,0.8174,aleksandrov_1947,1947-1953,1947,-2.1148,-0.1042,"Резко и сильно в этой работе были противопоставлены два метода, две программы, два мировоззрения в национальном вопросе - II Интернационала и ленинизм"
79,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.3252,-0.3636,"Сталин вначале живет в станке (в небольшом поселке) Костино, а затем, в начале 1914 года, царские жандармы, опасаясь нового побега, переводят его еще "
80,19,False,0.8174,aleksandrov_1947,1947-1953,1947,-1.9778,-0.1783,"Летом 1914 года началась империалистическая война. Партии II Интернационала позорно изменили пролетариату, перешли на сторону империалистической буржу"
81,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.3682,-0.3063,"В декабре 1916 года Сталин, мобилизованный в армию, по этапу направляется в г. Красноярск, а затем в г. Ачинск. Здесь его застает весть о февральской "
82,38,False,0.902,aleksandrov_1947,1947-1953,1947,-1.5666,-0.3571,"В начале марта 1917 года Сталин выезжает из Ачинска, с пути шлет приветственную телеграмму Ленину в Швейцарию.12 марта 1917 года Сталин, мужественно п"
83,17,False,0.7928,aleksandrov_1947,1947-1953,1947,-1.7525,0.0586,Партия большевиков только что вышла из подполья. Многие из наиболее видных и активных членов партии возвращались из далеких ссылок и тюрем. Ленин нахо
84,19,False,1.0,aleksandrov_1947,1947-1953,1947,-1.9869,0.023,Сталин совместно с Молотовым руководит деятельностью Центрального Комитета и Петербургского комитета большевиков. В статьях Сталина большевики получаю
85,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.6087,0.3347,"В статье «О войне» Сталин показал, что характер империалистической войны не изменился от перехода власти в руки Временного правительства, что война 19"
86,17,False,1.0,aleksandrov_1947,1947-1953,1947,-1.4631,0.6853,"Сталин, Молотов и другие вместе с большинством партии отстаивали политику недоверия империалистическому Временному правительству, выступали против мен"
87,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.6624,-0.3215,"V3 апреля 1917 года, после долгого изгнания, вернулся в Россию Ленин. Весть о приезде любимого вождя революции была встречена передовыми рабочими Петр"
88,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.5022,0.1392,"На конференции Сталин, решительно защищая ленинскую линию на социалистическую революцию, разоблачил оппортунистическую, антиленинскую линию Каменева, "
89,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.1438,0.5251,"В мае 1917 года, после конференции, учреждается Политбюро ЦК, Сталин выбирается членом Политбюро. С тех пор и до настоящего времени Сталин неизменно и"
90,6,False,1.0,aleksandrov_1947,1947-1953,1947,-3.9142,-1.3896,"В этот сложный период революции, когда события стремительно шли вперед, требуя от партии умелой, гибкой тактики, Ленин и Сталин руководят борьбой масс"
91,19,False,1.0,aleksandrov_1947,1947-1953,1947,-2.0676,-0.1869,"Сталин - в центре всей практической работы партии. Как член ЦК, он принимает непосредственное руководящее участие в работе Петроградского комитета пар"
92,19,False,0.8174,aleksandrov_1947,1947-1953,1947,-1.9154,-0.0647,"После июльских дней 1917 года, когда Ленин, травимый и преследуемый контрреволюционным Временным правительством, находился в подполье, Сталин непосред"
93,19,False,0.7568,aleksandrov_1947,1947-1953,1947,-2.0549,0.1965,Разгром июльской демонстрации вызвал перелом в развитии революции. Ленин вырабатывает новую тактику партии в новых условиях борьбы. Вместе со Свердлов
94,29,False,0.7942,aleksandrov_1947,1947-1953,1947,-3.2468,0.4297,"В ответ на вылазку троцкистов, пытавшихся курс партии на социалистическую революцию поставить в зависимость от пролетарской революции на Западе, товар"
95,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.999,0.6189,"Съезд объединился вокруг Сталина, отстаивавшего учение Ленина о возможности победы социализма в нашей стране. Под руководством Сталина, по директивам "
96,19,False,1.0,aleksandrov_1947,1947-1953,1947,-1.9809,-0.3261,"В дни пребывания Ленина в подполье Сталин поддерживает тесную связь и ведет переписку со своим учителем и другом - Лениным, Сталин два раза посещает Л"
97,19,False,0.7328,aleksandrov_1947,1947-1953,1947,-2.2129,-0.3372,"Ленин и Сталин смело и уверенно, твердо и осмотрительно вели партию и рабочий класс на социалистическую революцию, на вооруженное восстание. Ленин и С"
98,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.5003,-0.0013,"Сталин вызывает к себе представителей областных организаций, инструктирует их и намечает боевые задачи для отдельных областей. 16 октября Центральный "
99,54,False,0.6895,aleksandrov_1947,1947-1953,1947,-0.7231,-0.5895,Рано утром 24 октября Керенский издал приказ о закрытии Центрального Органа партии «Рабочий Путь» и послал броневики к помещению редакции и типографии
100,19,False,0.7888,aleksandrov_1947,1947-1953,1947,-2.0714,0.0222,"Сталин вошел в первый Совет Народных Комиссаров, избранный во главе с Лениным после победы Октябрьской революции на II Всероссийском съезде Советов."
101,34,False,0.8851,aleksandrov_1947,1947-1953,1947,-2.4105,-0.4222,С первых же дней существования Советского правительства и до 1923 года Сталин - народный комиссар по делам национальностей. Он непосредственно руковод
102,19,False,1.0,aleksandrov_1947,1947-1953,1947,-2.0245,-0.2703,"Сталин и Свердлов - ближайшие помощники Ленина в деле строительства Советского государства. Вместе с Лениным Сталин ведет борьбу против Каменева, Зино"
103,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.1238,0.3919,Сталин по поручению ЦК в январе 1918 года проводит совещание представителей революционного крыла социалистических партий различных стран Европы и Амер
104,17,False,0.8828,aleksandrov_1947,1947-1953,1947,-1.8024,0.2711,"В тяжелые дни Брестского мира, когда решалась судьба революции, Сталин вместе с Лениным твердо отстаивал большевистскую стратегию и тактику против пре"
105,36,False,1.0,aleksandrov_1947,1947-1953,1947,-0.374,-1.6102,Сталин был командирован Центральным Комитетом партии на юг в качестве облеченного чрезвычайными правами общего руководителя продовольственного дела на
106,36,False,1.0,aleksandrov_1947,1947-1953,1947,-0.3968,-1.6972,"Очистив железной рукой город от белогвардейских заговорщиков, добыв и послав в голодающие столицы значительное количество продовольствия, Сталин целик"
107,36,False,0.5437,aleksandrov_1947,1947-1953,1947,-0.0293,-1.5234,Героическая эпопея обороны Царицына совпала с крахом германского империализма на Украине. В ноябре 1918 года вспыхнула революция в Германии и Австро-В
108,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.7282,-0.2649,Сталин вел огромную работу по освобождению западных областей и созданию Белорусской Республики.30 ноября 1918 года был создан Совет Рабоче-Крестьянско
109,36,False,1.0,aleksandrov_1947,1947-1953,1947,-0.2759,-1.6103,"В конце 1918 года создалось катастрофическое положение на Восточном фронте. Армия Колчака спешила соединиться с английскими войсками, наступавшими с с"
110,36,False,1.0,aleksandrov_1947,1947-1953,1947,-0.2652,-1.6669,На юге под Царицыном его мощная воля не позволила донской контрреволюции слить свои силы с уральской и поволжской. На севере Сталин сорвал попытку инт
111,36,False,0.8387,aleksandrov_1947,1947-1953,1947,-0.4577,-1.5574,"Вернувшись с Восточного фронта, Сталин берется за дело организации государственного контроля и по предложению Ленина в марте 1919 года назначается нар"
112,36,False,0.6148,aleksandrov_1947,1947-1953,1947,-0.3767,-1.6424,"Для организации отпора белым Центральный Комитет послал Сталина. На фронт двинулись коммунисты. Сталин быстро ликвидировал растерянность, беспощадно у"
113,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-0.2647,-1.8738,"Южный фронт получил массовые пополнения людьми и боевые средства, но нужен был руководитель, который сумел бы сплотить сотни тысяч бойцов, сцементиров"
114,36,False,0.9474,aleksandrov_1947,1947-1953,1947,-0.2832,-1.8161,"Полководец революции застал на фронте толчею, растерянность, отсутствие стратегического плана. Прогнав из штабов обанкротившихся ставленников Троцкого"
115,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-0.517,-2.0221,"Сталин развернул гигантскую работу по организации победы. Он наблюдал за ходом операций, исправлял на ходу ошибки, подбирал командиров и политработник"
116,36,False,1.0,aleksandrov_1947,1947-1953,1947,-0.0977,-1.8643,"Реализация плана Сталина привела к полному разгрому Деникина. По инициативе товарища Сталина была создана 1 Конная армия во главе с Буденным, Ворошило"
117,19,False,1.0,aleksandrov_1947,1947-1953,1947,-1.8348,-0.318,"В период кратковременной передышки, которую получила Страна Советов после разгрома Деникина, Сталин по поручению Ленина руководит восстановлением разр"
118,36,False,0.8377,aleksandrov_1947,1947-1953,1947,-0.1632,-1.7958,"В мае 1920 года Сталин направляется ЦК на Юго-Западный фронт против польских панов, начавших третий поход Антанты на Советскую Республику. Здесь Стали"
119,19,False,1.0,aleksandrov_1947,1947-1953,1947,-2.0728,-0.252,Все годы гражданской войны прошли под знаком тесного сотрудничества Ленина и Сталина. Они рука об руку строят и укрепляют Красную Армию. Ленин советуе
120,19,False,1.0,aleksandrov_1947,1947-1953,1947,-2.0541,-0.1891,"В своих письмах и телеграммах Сталин давал мастерский анализ военной обстановки. Он неизменно обращался к Ленину за помощью и поддержкой, когда обстан"
121,34,False,1.0,aleksandrov_1947,1947-1953,1947,-2.5552,-0.755,В годы гражданской войны ЦК партии и лично Ленин посылали Сталина на самые решающие и опасные для революции фронты. Товарищ Сталин состоял членом Ревв
122,34,False,1.0,aleksandrov_1947,1947-1953,1947,-2.3993,-0.6154,"Сталин организовывал партийные и рабочие массы, брал в свои твердые руки руководство; опираясь на массы, он беспощадно ломал саботаж, железной рукой п"
123,44,False,1.0,aleksandrov_1947,1947-1953,1947,-1.7238,-2.4912,Заслуги Сталина на фронтах гражданской войны были отмечены по инициативе Ленина постановлением Всероссийского Центрального Исполнительного Комитета от
124,34,False,0.7693,aleksandrov_1947,1947-1953,1947,-2.5066,-0.9202,"Создателем Красной Армии - первой в мире Красной Армии, армии освобожденных рабочих и крестьян, армии братства между народами нашей страны, армии, вос"
125,34,False,1.0,aleksandrov_1947,1947-1953,1947,-2.499,-0.7072,"Непосредственным вдохновителем и организатором важнейших побед Красной Армии был Сталин. Всюду, где на фронтах решались судьбы революции, партия посыл"
126,17,False,0.9883,aleksandrov_1947,1947-1953,1947,-1.6418,0.4642,Но антипартийные группировки пытались помешать партии в выработке новых установок. В конце 1920 года они навязали партии так называемую дискуссию о пр
127,19,False,0.6685,aleksandrov_1947,1947-1953,1947,-2.0662,0.1565,Вместе с Лениным Сталин последовательно проводил и отстаивал партийную линию и громил всех этих врагов партии. Сталин организационно руководил борьбой
128,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.2511,0.3234,"Крупное значение в деле победы партийной линии и сплочения партии вокруг Ленина, вокруг ленинского большинства ЦК, имела опубликованная 19 января 1921"
129,13,False,1.0,aleksandrov_1947,1947-1953,1947,-2.6441,1.0117,Этой же основной задаче служило и решение съезда по национальному вопросу. Доклад «Очередные задачи партии в национальном вопросе» сделал на съезде Ст
130,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.9553,-0.0439,В докладе Сталина и в резолюции съезда была точно и ясно сформулирована основная практическая задача в национальном вопросе. Мы ликвидировали национал
